customer_id,created_at,churned,company_size,contract_type,plan_tier,acquisition_channel,industry,country,tenure_days,company_size_enc,contract_type_enc,plan_tier_enc,acquisition_channel_enc,industry_enc,country_enc,months_active,avg_sessions_all,avg_sessions_3m,avg_adoption_all,avg_adoption_3m,sessions_trend,adoption_trend,sessions_mom_change,avg_api_calls,avg_active_users,total_tickets,tickets_last_3m,avg_csat,min_csat,avg_resolution_hours,pct_billing_tickets,pct_bug_tickets,high_priority_tickets,total_payments,failed_payment_count,late_payment_count,pct_on_time,avg_days_late,payment_ratio,recent_failed_payments,avg_monthly_revenue,target
CUST-221DAEFC,2024-03-05,True,Mid-Market,Monthly,Pro,Paid,Healthcare,US,301,1,0,1,1,3,6,6,31.67,29.67,0.4155,0.438,0.7429,0.0127,14.0,191.5,2.67,3.0,3.0,2.0,1.0,55.4945709637037,0.0,0.667,0.0,6,0,1,0.833,4.0,1.0,0,299.0,1
CUST-98FAE552,2024-03-05,True,SMB,Multi-Year,Basic,Organic,SaaS,Australia,301,0,2,0,0,7,0,5,36.4,38.33,0.4204,0.4917,-1.0,0.051,-14.0,227.2,2.0,3.0,3.0,2.6666666666666665,1.0,42.925130770833334,0.0,0.0,0.0,5,1,0,0.8,5.8,0.8,1,99.0,1
CUST-A74B0EED,2024-04-07,True,SMB,Monthly,Basic,Paid,Manufacturing,US,268,0,0,0,1,5,6,6,38.17,42.33,0.298,0.1147,-0.9429,-0.1073,-11.0,206.83,3.17,1.0,1.0,2.0,2.0,22.966992232499997,1.0,0.0,0.0,6,2,0,0.667,12.67,0.6667,1,99.0,1
CUST-DE5FBF9B,2024-08-26,True,Mid-Market,Monthly,Pro,Referral,SaaS,UK,127,1,0,1,3,7,5,4,56.0,54.67,0.5585,0.5467,-9.4,-0.0092,-29.0,235.5,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0.5,16.5,0.75,0,299.0,1
CUST-F49CFD0B,2024-08-09,True,SMB,Monthly,Basic,Partner,E-commerce,US,144,0,0,0,2,0,6,4,52.75,56.0,0.645,0.56,0.9,-0.141,-3.0,217.75,3.5,2.0,2.0,4.0,4.0,6.243625503472222,0.0,0.5,0.0,4,0,0,1.0,0.0,1.0,0,99.0,1
CUST-33BEF1FA,2024-03-16,False,Mid-Market,Monthly,Pro,Referral,Healthcare,Australia,290,1,0,1,3,3,0,10,31.6,29.67,0.3835,0.3653,0.3394,-0.0146,-3.0,184.3,3.1,8.0,5.0,2.5,1.0,47.23523976048611,0.0,0.375,4.0,10,1,1,0.8,7.7,0.9,0,299.0,0
CUST-A9E5A0B3,2024-06-06,False,Enterprise,Multi-Year,Enterprise,Referral,Finance,France,208,2,2,2,3,2,2,7,51.43,36.33,0.4819,0.3817,-6.3929,-0.0405,-10.0,167.14,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,3,0.571,7.86,1.0,0,999.0,0
CUST-F534DA4A,2024-02-07,False,SMB,Annual,Basic,Organic,Finance,UK,328,0,1,0,0,2,5,11,36.45,15.67,0.3726,0.177,-4.7091,-0.0488,12.0,235.91,2.45,2.0,2.0,4.0,3.0,27.196674278611113,0.5,0.0,0.0,11,0,0,1.0,0.0,1.0,0,99.0,0
CUST-7209D42C,2024-05-27,True,SMB,Monthly,Pro,Organic,E-commerce,UK,218,0,0,1,0,0,5,6,45.67,39.0,0.5098,0.4893,-6.1143,-0.0189,1.0,206.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,2,0.5,12.5,0.8333,0,299.0,1
CUST-B28438DB,2024-06-13,True,Mid-Market,Monthly,Pro,Paid,Logistics,Australia,201,1,0,1,1,4,0,5,34.6,31.67,0.3736,0.3897,-2.1,0.0016,1.0,215.2,2.0,2.0,2.0,1.5,1.0,57.83015326527777,0.0,1.0,0.0,5,1,0,0.8,6.4,0.8,0,299.0,1
CUST-E0A01926,2023-08-16,False,SMB,Monthly,Basic,Partner,Education,Germany,503,0,0,0,2,1,3,17,32.06,33.33,0.4028,0.4017,0.7892,-0.0026,4.0,223.59,2.47,11.0,1.0,2.6363636363636362,1.0,47.60973573929293,0.0,0.727,1.0,17,0,1,0.941,0.47,1.0,0,99.0,0
CUST-C6562D9B,2024-02-09,True,SMB,Monthly,Basic,Paid,E-commerce,France,326,0,0,0,1,0,2,11,33.18,34.0,0.3803,0.3113,-0.0364,-0.0135,13.0,167.09,1.82,7.0,3.0,2.4285714285714284,1.0,50.77552326349207,0.286,0.571,0.0,11,2,3,0.545,10.18,0.8182,1,99.0,1
CUST-8BB1BF71,2023-04-29,False,SMB,Monthly,Basic,Partner,E-commerce,France,612,0,0,0,2,0,2,21,80.57,86.0,0.7414,0.7037,0.0026,-0.0024,-25.0,507.0,5.33,1.0,1.0,5.0,5.0,10.904201452499999,0.0,0.0,0.0,21,0,0,1.0,0.0,1.0,0,99.0,0
CUST-C896475E,2024-06-14,False,SMB,Annual,Basic,Paid,E-commerce,US,200,0,1,0,1,0,6,7,32.86,32.0,0.3761,0.3727,1.1786,-0.0038,19.0,219.14,3.43,5.0,3.0,2.6,1.0,48.82623838433333,0.0,0.0,0.0,7,0,1,0.857,2.43,1.0,0,99.0,0
CUST-E35EB880,2023-08-17,False,SMB,Monthly,Basic,Partner,SaaS,Germany,502,0,0,0,2,7,3,17,78.0,81.67,0.7338,0.737,0.375,0.0023,3.0,495.47,4.65,3.0,2.0,3.6666666666666665,3.0,13.666430367037037,0.0,0.0,1.0,17,0,0,1.0,0.0,1.0,0,99.0,0
CUST-EE032E79,2023-04-22,False,SMB,Monthly,Pro,Paid,Logistics,France,619,0,0,1,1,4,2,21,81.62,84.33,0.781,0.8327,-0.5156,0.0013,5.0,500.71,4.43,6.0,3.0,3.5,1.0,13.599638493657407,0.167,0.167,3.0,21,0,0,1.0,0.0,1.0,0,299.0,0
CUST-83384F19,2023-12-05,False,SMB,Annual,Basic,Organic,SaaS,Canada,392,0,1,0,0,7,1,13,78.15,76.67,0.7568,0.7487,-0.6429,-0.0129,39.0,452.38,4.46,2.0,1.0,4.0,4.0,12.061675194583332,0.0,0.0,0.0,13,0,0,1.0,0.0,1.0,0,99.0,0
CUST-813A8F52,2024-03-28,True,SMB,Monthly,Pro,Paid,E-commerce,US,278,0,0,1,1,0,6,9,61.11,50.0,0.4737,0.467,-0.6667,-0.0004,64.0,246.44,2.67,5.0,3.0,3.2,1.0,9.750134503999998,0.6,0.0,1.0,9,1,2,0.667,7.0,0.8889,0,299.0,1
CUST-66D5F3B2,2024-04-30,False,Mid-Market,Annual,Pro,Referral,Education,US,245,1,1,1,3,1,6,9,41.22,21.33,0.3981,0.159,-6.7,-0.0609,-22.0,192.56,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,1,0.889,0.67,1.0,0,299.0,0
CUST-AB226234,2024-11-07,True,SMB,Monthly,Pro,Organic,Retail,Germany,54,0,0,1,0,6,3,2,10.5,10.5,0.308,0.308,0.0,0.0,-17.0,259.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,1.0,0.0,1.0,0,299.0,1
CUST-3E89AD2A,2023-08-28,False,Mid-Market,Monthly,Pro,Paid,Manufacturing,Australia,491,1,0,1,1,5,0,17,79.82,72.67,0.7639,0.7753,0.0686,0.0011,-15.0,526.29,4.12,1.0,1.0,5.0,5.0,1.0,0.0,1.0,0.0,17,0,0,1.0,0.0,1.0,0,299.0,0
CUST-FD6B2FD6,2024-09-29,False,Enterprise,Annual,Enterprise,Referral,Logistics,UK,93,2,1,2,3,4,5,4,28.25,23.67,0.242,0.2213,-5.7,-0.0918,-10.0,212.5,1.75,1.0,1.0,1.0,1.0,19.09408471833333,0.0,0.0,0.0,4,1,1,0.5,12.5,0.75,0,999.0,0
CUST-760D7A36,2024-04-27,False,Mid-Market,Monthly,Enterprise,Paid,E-commerce,Canada,248,1,0,2,1,0,1,9,36.89,31.67,0.49,0.4583,-1.4,0.0198,-24.0,172.0,2.56,3.0,1.0,4.0,3.0,31.08694910175926,0.667,0.0,1.0,9,2,1,0.556,6.0,0.5556,1,999.0,0
CUST-78427E8D,2023-11-18,False,Mid-Market,Monthly,Pro,Paid,Retail,UK,409,1,0,1,1,6,5,14,86.79,80.0,0.745,0.6437,-1.0,-0.0044,6.0,457.29,5.14,1.0,1.0,4.0,4.0,29.37314542361111,0.0,0.0,0.0,14,0,1,0.929,2.14,1.0,0,299.0,0
CUST-E9F5F759,2024-02-24,False,Mid-Market,Monthly,Enterprise,Partner,E-commerce,US,311,1,0,2,2,0,6,11,55.55,40.67,0.4715,0.3677,-5.2273,-0.0097,-14.0,223.82,2.73,5.0,3.0,3.4,3.0,18.211947084777776,0.6,0.2,2.0,11,3,2,0.455,14.73,0.5455,1,999.0,0
CUST-994B93AA,2024-05-24,True,Mid-Market,Monthly,Enterprise,Organic,Education,Australia,221,1,0,2,0,1,0,7,32.71,32.67,0.4223,0.4127,1.3214,-0.0178,-3.0,284.57,3.14,5.0,5.0,3.0,2.0,45.69280789566667,0.2,0.4,2.0,7,1,1,0.714,9.86,0.8571,0,999.0,1
CUST-BCA3DE37,2023-04-04,False,Mid-Market,Monthly,Pro,Partner,Healthcare,Canada,637,1,0,1,2,3,1,21,78.52,78.33,0.7636,0.7677,0.4753,-0.0043,1.0,452.52,4.57,2.0,1.0,4.0,4.0,26.448142950138887,0.0,0.5,1.0,21,0,3,0.857,2.62,1.0,0,299.0,0
CUST-645AB606,2024-04-28,False,Enterprise,Multi-Year,Enterprise,Referral,SaaS,France,247,2,2,2,3,7,2,9,85.22,94.33,0.776,0.7373,1.25,-0.014,0.0,495.78,4.11,1.0,1.0,5.0,5.0,9.760645130277778,0.0,0.0,0.0,9,0,0,1.0,0.0,1.0,0,999.0,0
CUST-0837D102,2024-01-06,False,SMB,Annual,Pro,Paid,Healthcare,Germany,360,0,1,1,1,3,3,12,79.42,80.0,0.7411,0.7567,-0.1643,-0.0012,13.0,512.58,4.67,1.0,1.0,4.0,4.0,26.2015818675,0.0,0.0,0.0,12,0,0,1.0,0.0,1.0,0,299.0,0
CUST-7CC14857,2023-12-27,False,Mid-Market,Annual,Pro,Partner,Retail,India,370,1,1,1,2,6,4,13,34.54,29.0,0.3912,0.4153,-1.1593,-0.0034,-12.0,207.08,3.15,9.0,2.0,1.8888888888888888,1.0,50.33789418274691,0.222,0.444,4.0,13,1,2,0.769,5.08,0.9231,0,299.0,0
CUST-5B44D451,2023-10-31,False,Mid-Market,Monthly,Enterprise,Organic,Education,US,427,1,0,2,0,1,6,15,33.73,32.0,0.378,0.3867,-0.1214,0.0036,9.0,165.4,2.27,11.0,3.0,2.727272727272727,1.0,41.892321631439394,0.273,0.364,0.0,15,1,3,0.733,5.6,0.9333,0,999.0,0
CUST-DE9645B2,2023-12-30,True,SMB,Annual,Pro,Paid,SaaS,UK,367,0,1,1,1,7,5,13,31.92,30.67,0.399,0.372,-0.0824,-0.0036,10.0,205.08,2.85,11.0,4.0,2.6363636363636362,1.0,46.85979729949495,0.182,0.364,5.0,13,0,1,0.923,1.38,1.0,0,299.0,1
CUST-43E0F504,2024-03-17,True,SMB,Monthly,Pro,Organic,Retail,France,289,0,0,1,0,6,2,5,57.0,57.33,0.5696,0.4513,-1.2,-0.0943,-16.0,273.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,1.0,0.0,1.0,0,299.0,1
CUST-51BF59F3,2023-07-05,False,SMB,Multi-Year,Basic,Referral,Education,US,545,0,2,0,3,1,6,18,80.94,63.67,0.7332,0.7337,-1.0227,-0.0014,1.0,508.94,4.17,5.0,2.0,4.2,2.0,18.085199450555557,0.0,0.2,3.0,18,1,1,0.889,3.72,0.9444,0,99.0,0
CUST-3BE29891,2024-06-20,True,SMB,Annual,Basic,Organic,Education,US,194,0,1,0,0,1,6,6,35.5,38.33,0.3452,0.3023,0.2,-0.0091,6.0,191.33,3.0,4.0,4.0,2.5,1.0,60.60890591659722,0.0,0.25,0.0,6,0,1,0.833,3.0,1.0,0,99.0,1
CUST-EC330424,2024-05-10,False,Mid-Market,Multi-Year,Enterprise,Partner,Retail,UK,235,1,2,2,2,6,5,8,45.5,28.67,0.4631,0.3627,-6.4524,-0.0463,10.0,150.75,2.88,1.0,1.0,2.0,2.0,9.536402801111112,0.0,1.0,0.0,8,1,2,0.625,8.88,0.875,0,999.0,0
CUST-F009A4EC,2023-08-02,False,SMB,Monthly,Pro,Referral,Manufacturing,India,517,0,0,1,3,5,4,17,74.59,70.67,0.7477,0.7217,0.4975,0.0013,14.0,480.59,4.29,1.0,1.0,4.0,4.0,20.032359545833334,0.0,0.0,1.0,17,0,0,1.0,0.0,1.0,0,299.0,0
CUST-97EADF75,2024-02-06,True,Mid-Market,Monthly,Pro,Referral,Healthcare,Germany,329,1,0,1,3,3,3,11,47.09,60.67,0.381,0.3643,5.2818,-0.0067,-25.0,214.82,2.82,7.0,3.0,3.0,2.0,17.560754741984127,0.857,0.0,0.0,11,3,1,0.636,10.73,0.7273,1,299.0,1
CUST-114F18E2,2024-02-05,False,SMB,Monthly,Pro,Partner,Retail,Australia,330,0,0,1,2,6,0,11,40.82,7.33,0.3698,0.2653,-7.6636,-0.036,0.0,145.27,2.36,4.0,2.0,3.5,1.0,14.189364675208333,0.0,0.25,2.0,11,0,3,0.727,6.09,1.0,0,299.0,0
CUST-729DD76D,2024-08-12,False,Mid-Market,Annual,Enterprise,Organic,Healthcare,India,141,1,1,2,0,3,4,5,56.6,52.0,0.5472,0.5447,-4.0,0.0086,-3.0,135.6,3.0,1.0,1.0,5.0,5.0,24.620518347500003,0.0,0.0,0.0,5,1,0,0.8,7.6,0.8,1,999.0,0
CUST-9B4B668E,2023-03-14,False,Mid-Market,Monthly,Enterprise,Paid,Manufacturing,UK,658,1,0,2,1,5,5,22,79.77,81.33,0.7691,0.7423,-0.0085,-0.0015,8.0,513.05,4.27,3.0,1.0,4.666666666666667,4.0,14.125578373055555,0.0,0.0,1.0,22,0,0,1.0,0.0,1.0,0,999.0,0
CUST-BF411567,2024-02-26,True,Enterprise,Multi-Year,Enterprise,Partner,E-commerce,France,309,2,2,2,2,0,2,6,37.5,36.33,0.4132,0.3717,0.3714,-0.0202,11.0,194.17,2.83,4.0,4.0,2.5,1.0,48.03366724638889,0.0,0.25,0.0,6,0,0,1.0,0.0,1.0,0,999.0,1
CUST-64680746,2024-05-06,False,SMB,Annual,Basic,Organic,Healthcare,UK,239,0,1,0,0,3,5,8,42.75,33.0,0.4649,0.355,-2.7619,-0.034,22.0,240.12,3.12,1.0,1.0,4.0,4.0,11.005047798333333,0.0,0.0,0.0,8,2,0,0.75,10.62,0.75,1,99.0,0
CUST-6C51C4C7,2023-11-13,False,Enterprise,Multi-Year,Enterprise,Partner,Healthcare,UK,414,2,2,2,2,3,5,14,35.57,35.33,0.4285,0.4373,0.0484,-0.0014,17.0,178.57,2.93,13.0,5.0,2.4615384615384617,1.0,45.709763552841885,0.077,0.538,6.0,14,0,1,0.929,1.71,1.0,0,999.0,0
CUST-314DB0B8,2022-11-07,False,Mid-Market,Annual,Enterprise,Partner,Retail,India,785,1,1,2,2,6,4,26,76.58,74.67,0.7359,0.8233,0.0325,0.0017,-16.0,495.77,4.23,4.0,1.0,4.25,3.0,21.49966300375,0.0,0.0,0.0,26,0,2,0.923,1.54,1.0,0,999.0,0
CUST-98EBD763,2024-02-16,False,Mid-Market,Annual,Pro,Partner,Logistics,UK,319,1,1,1,2,4,5,11,52.73,65.0,0.4205,0.2943,1.6273,-0.0162,-10.0,223.91,2.73,4.0,2.0,3.5,3.0,21.025834173541668,0.75,0.25,0.0,11,2,3,0.455,11.91,0.6364,0,299.0,0
CUST-888CDBA6,2023-10-10,False,Mid-Market,Annual,Pro,Referral,Finance,India,448,1,1,1,3,2,4,15,79.27,72.33,0.7705,0.7507,-0.8357,-0.0033,4.0,493.07,4.47,2.0,1.0,4.0,4.0,21.75005093847222,0.0,0.5,1.0,15,0,1,0.933,0.47,1.0,0,299.0,0
CUST-DA23CF27,2024-04-03,False,SMB,Monthly,Pro,Paid,Healthcare,US,272,0,0,1,1,3,6,9,44.44,26.0,0.4194,0.28,-5.7,-0.0527,-15.0,201.11,2.89,3.0,2.0,3.3333333333333335,2.0,23.3461633662963,0.333,0.333,2.0,9,0,1,0.889,2.44,1.0,0,299.0,0
CUST-92B29804,2023-03-13,False,Mid-Market,Monthly,Pro,Partner,Logistics,Australia,659,1,0,1,2,4,0,22,77.91,71.67,0.748,0.825,-0.4088,0.0066,-6.0,493.14,4.5,7.0,4.0,4.428571428571429,3.0,18.391388021111112,0.0,0.286,3.0,22,0,0,1.0,0.0,1.0,0,299.0,0
CUST-6472DCF1,2022-11-17,False,SMB,Annual,Pro,Partner,Education,US,775,0,1,1,2,1,6,26,77.42,76.67,0.7382,0.7673,-0.1193,0.0029,-9.0,456.08,4.46,7.0,1.0,4.714285714285714,4.0,17.823725911904763,0.143,0.143,2.0,26,2,1,0.885,4.04,0.9231,0,299.0,0
CUST-17F1E5FD,2023-08-06,False,Mid-Market,Annual,Enterprise,Partner,Finance,Germany,513,1,1,2,2,2,3,17,82.06,85.67,0.8116,0.8003,0.2574,0.0024,1.0,499.18,4.24,3.0,1.0,4.0,4.0,24.030918882500004,0.0,0.0,0.0,17,0,2,0.882,1.06,1.0,0,999.0,0
CUST-10E4F6F1,2023-06-14,False,SMB,Monthly,Pro,Partner,Healthcare,Germany,566,0,0,1,2,3,3,19,77.11,79.33,0.7581,0.8083,-0.014,0.0028,-13.0,483.26,4.63,5.0,2.0,4.0,1.0,11.28168433088889,0.0,0.0,3.0,19,0,1,0.947,0.63,1.0,0,299.0,0
CUST-8B75395F,2024-11-21,False,Mid-Market,Multi-Year,Pro,Organic,SaaS,India,40,1,2,1,0,7,4,2,34.0,34.0,0.2225,0.2225,0.0,0.0,-12.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0.5,8.0,1.0,0,299.0,0
CUST-17FE6F55,2024-07-24,True,SMB,Monthly,Basic,Partner,Retail,Canada,160,0,0,0,2,6,1,5,46.2,47.67,0.3686,0.3733,-1.4,-0.014,-31.0,246.6,3.0,1.0,1.0,4.0,4.0,19.35859424083333,1.0,0.0,0.0,5,3,1,0.2,24.0,0.4,1,99.0,1
CUST-996F0566,2022-12-16,False,SMB,Annual,Basic,Referral,SaaS,India,746,0,1,0,3,7,4,25,76.6,78.33,0.7482,0.7577,-0.2238,-0.0021,-3.0,466.24,4.24,5.0,1.0,5.0,5.0,16.371128542166666,0.0,0.4,2.0,25,0,0,1.0,0.0,1.0,0,99.0,0
CUST-CC0CC1A3,2022-09-09,False,Enterprise,Monthly,Enterprise,Paid,Finance,US,844,2,0,2,1,2,6,28,80.32,78.0,0.7681,0.8253,0.0862,-0.0002,-9.0,451.18,4.71,6.0,2.0,4.333333333333333,1.0,23.721504189166666,0.167,0.333,3.0,28,0,0,1.0,0.0,1.0,0,999.0,0
CUST-1CB2FE61,2024-01-24,False,SMB,Monthly,Basic,Referral,Logistics,UK,342,0,0,0,3,4,5,12,39.83,41.33,0.3741,0.3467,0.0769,-0.0028,8.0,166.42,2.25,5.0,2.0,2.4,2.0,52.10767069938889,0.2,0.6,1.0,12,1,1,0.833,7.17,0.9167,1,99.0,0
CUST-66B69B94,2023-10-03,True,Enterprise,Annual,Enterprise,Partner,Manufacturing,US,455,2,1,2,2,5,6,8,29.0,30.33,0.428,0.4623,-0.0238,0.0085,-11.0,170.88,2.88,6.0,4.0,1.5,1.0,58.81556753939814,0.0,0.667,2.0,8,1,2,0.625,5.88,0.875,1,999.0,1
CUST-4386134B,2024-02-03,False,SMB,Annual,Pro,Organic,Manufacturing,US,332,0,1,1,0,5,6,11,41.55,27.33,0.3649,0.131,-4.2636,-0.059,-4.0,160.91,2.27,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,11,0,3,0.727,3.91,1.0,0,299.0,0
CUST-DA424E60,2024-03-24,False,SMB,Monthly,Pro,Organic,Retail,US,282,0,0,1,0,6,6,10,33.6,28.0,0.4198,0.4427,-1.5152,0.0116,14.0,222.4,2.3,8.0,4.0,2.375,1.0,62.37263952454861,0.125,0.375,4.0,10,2,0,0.8,8.9,0.8,0,299.0,0
CUST-EDC696DD,2023-12-10,False,SMB,Multi-Year,Pro,Paid,Logistics,France,387,0,2,1,1,4,2,13,34.15,30.67,0.3742,0.3993,-0.1978,0.0075,16.0,221.69,3.15,11.0,2.0,2.090909090909091,1.0,49.09720926128787,0.273,0.182,1.0,13,0,3,0.769,5.15,1.0,0,299.0,0
CUST-2E4306BB,2023-10-20,False,Enterprise,Annual,Enterprise,Partner,Logistics,France,438,2,1,2,2,4,2,15,31.4,22.33,0.2943,0.152,-3.4964,-0.0315,21.0,159.33,2.33,2.0,2.0,3.0,2.0,16.476748224444446,0.0,0.0,0.0,15,0,2,0.867,2.07,1.0,0,999.0,0
CUST-72B18CCD,2024-03-10,False,SMB,Annual,Pro,Partner,Manufacturing,US,296,0,1,1,2,5,6,10,41.3,25.0,0.3657,0.234,-5.5091,-0.0488,17.0,219.3,2.9,2.0,1.0,2.5,2.0,28.911718690555556,0.5,0.0,0.0,10,1,3,0.6,8.3,0.9,0,299.0,0
CUST-C9BD6703,2022-08-03,False,Mid-Market,Annual,Pro,Paid,Retail,France,881,1,1,1,1,6,2,29,78.86,79.0,0.7652,0.8033,0.1552,0.0016,-12.0,497.62,4.66,3.0,1.0,4.333333333333333,3.0,6.488197545833334,0.0,0.0,1.0,29,2,1,0.897,3.0,0.931,0,299.0,0
CUST-C105B034,2024-10-28,True,SMB,Monthly,Pro,Paid,SaaS,Australia,64,0,0,1,1,7,0,3,60.67,60.67,0.519,0.519,1.5,0.0255,-11.0,120.67,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1.0,0.0,1.0,0,299.0,1
CUST-83B7B2E7,2022-12-15,False,SMB,Annual,Pro,Partner,Logistics,India,747,0,1,1,2,4,4,25,78.72,76.33,0.7377,0.7273,-0.3323,-0.0009,-21.0,506.04,4.4,8.0,2.0,3.5,2.0,22.31391133642361,0.125,0.125,1.0,25,0,0,1.0,0.0,1.0,0,299.0,0
CUST-47B3B13C,2024-01-07,True,Mid-Market,Annual,Pro,Partner,Retail,Germany,359,1,1,1,2,6,3,7,31.14,26.33,0.4114,0.5083,-1.5714,0.0371,11.0,188.43,2.86,6.0,5.0,2.1666666666666665,1.0,48.933344579629626,0.0,0.667,2.0,7,0,1,0.857,0.71,1.0,0,299.0,1
CUST-3A74893A,2024-11-07,False,SMB,Monthly,Basic,Paid,E-commerce,UK,54,0,0,0,1,0,5,2,32.5,32.5,0.3425,0.3425,0.0,0.0,17.0,160.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0.5,5.0,1.0,0,99.0,0
CUST-F803FC91,2024-02-27,False,Enterprise,Multi-Year,Enterprise,Partner,Finance,UK,308,2,2,2,2,2,5,11,40.0,24.67,0.4314,0.2327,-3.5727,-0.0607,-14.0,167.0,2.91,1.0,1.0,3.0,3.0,18.12169682277778,0.0,0.0,0.0,11,0,2,0.818,3.0,1.0,0,999.0,0
CUST-2A676CE5,2024-05-03,False,Mid-Market,Annual,Enterprise,Referral,Finance,France,242,1,1,2,3,2,2,8,81.12,87.0,0.7341,0.744,0.6548,-0.0005,15.0,564.62,4.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,1.0,8,0,0,1.0,0.0,1.0,0,999.0,0
